match_id,country,opposition,runs,wickets,over,rpo,target,inns,result
3420,IND,AUS,362,1,43.3,8.32,360,2,1
3420,AUS,IND,359,5,50.0,7.18,,1,0
3421,IND,AUS,303,9,50.0,6.06,,1,0
3421,AUS,IND,304,6,49.3,6.14,304,2,1
3423,NZL,BAN,162,10,29.5,5.43,206,2,0
3423,BAN,NZL,265,10,49.5,5.31,,1,1
3424,IND,AUS,351,4,49.3,7.09,351,2,1
3424,AUS,IND,350,6,50.0,7.0,,1,0
3425,SOA,PAK,183,10,49.5,3.67,,1,1
3425,PAK,SOA,182,10,46.3,3.91,184,2,0
3426,NZL,BAN,207,10,46.4,4.43,248,2,0
3426,BAN,NZL,247,10,49.0,5.04,,1,1
3427,SOA,PAK,143,10,40.4,3.51,210,2,0
3427,PAK,SOA,209,10,49.4,4.2,,1,1
3428,IND,AUS,383,6,50.0,7.66,,1,1
3428,AUS,IND,326,10,45.1,7.21,384,2,0
3429,NZL,BAN,307,5,50.0,6.14,,1,0
3429,BAN,NZL,309,6,49.2,6.26,308,2,1
3430,SOA,PAK,259,8,50.0,5.18,,1,1
3430,PAK,SOA,191,10,44.3,4.29,260,2,0
3431,SOA,PAK,266,5,50.0,5.32,,1,1
3431,PAK,SOA,238,10,49.2,4.82,267,2,0
3433,SOA,PAK,268,7,50.0,5.36,,1,1
3433,PAK,SOA,151,10,35.3,4.25,269,2,0
3434,SLK,NZL,138,1,23.0,6.0,,1,0
3434,NZL,SLK,203,6,23.0,8.82,198,2,1
3435,SLK,NZL,211,8,33.0,6.39,,1,1
3435,NZL,SLK,126,6,25.0,5.04,163,2,0
3436,WIN,IND,211,10,48.5,4.32,,1,0
3436,IND,WIN,212,4,35.2,6.0,212,2,1
3437,WIN,IND,289,8,49.3,5.83,289,2,1
3437,IND,WIN,288,7,50.0,5.76,,1,0
3438,SOA,PAK,195,10,48.1,4.04,219,2,0
3438,PAK,SOA,218,9,50.0,4.36,,1,1
3439,WIN,IND,263,5,50.0,5.26,,1,0
3439,IND,WIN,266,5,46.1,5.76,264,2,1
3440,SOA,PAK,261,6,45.0,5.8,263,2,0
3440,PAK,SOA,262,10,45.0,5.82,,1,1
3441,SOA,PAK,181,6,38.4,4.68,180,2,1
3441,PAK,SOA,179,10,46.5,3.82,,1,0
3442,SOA,IND,358,4,50.0,7.16,,1,1
3442,IND,SOA,217,10,41.0,5.29,359,2,0
3443,SOA,IND,280,6,49.0,5.71,,1,1
3443,IND,SOA,146,10,35.1,4.15,281,2,0
3445,SLK,PAK,311,10,49.4,6.26,323,2,0
3445,PAK,SLK,322,5,50.0,6.44,,1,1
3446,SLK,PAK,287,8,49.4,5.77,285,2,1
